Scale,FInEDB Size,Filter,FInEDB Join Size,Filter Join,Ratio FInEDB,SPX Size,EMM_R,EMM_C,EMM_V,EDX,SPX Join Size,EMM_R Join,EMM_C Join,EMM_V Join,EDX Join,Ratio SPX
sf0.001,78.35,4.48,78.52,4.64,0.00,109.20,37.80,40.99,30.41,0.00,115.39,37.79,41.00,30.41,6.18,0.06
sf0.002,156.02,8.91,156.35,9.25,0.00,217.45,75.27,81.63,60.55,0.00,229.74,75.27,81.63,60.56,12.28,0.06
sf0.003,234.37,13.36,234.88,13.88,0.00,326.69,113.07,122.63,90.99,0.00,345.12,113.09,122.63,90.98,18.43,0.06
sf0.004,314.41,17.93,315.13,18.65,0.00,438.30,151.70,164.51,122.09,0.00,463.00,151.70,164.51,122.08,24.72,0.06
