Scale,FInEDB Size,Filter,FInEDB Join Size,Filter Join,Ratio FInEDB,SPX Size,EMM_R,EMM_C,EMM_V,EDX,SPX Join Size,EMM_R Join,EMM_C Join,EMM_V Join,EDX Join,Ratio SPX
sf0.005,393.24,22.48,394.03,23.27,0.00,548.11,189.70,205.73,152.68,0.00,579.03,189.73,205.72,152.68,30.90,0.06
sf0.006,471.23,26.92,472.17,27.85,0.00,657.13,227.43,246.54,182.96,0.00,693.89,227.37,246.56,182.95,37.01,0.06
sf0.007,550.26,31.39,551.47,32.54,0.00,767.01,265.48,287.99,213.66,0.00,810.21,265.47,287.88,213.64,43.22,0.06
sf0.008,627.84,35.78,629.43,37.17,0.00,875.21,302.93,328.51,243.77,0.00,924.51,302.91,328.50,243.79,49.30,0.06
sf0.009,705.66,40.28,707.10,41.72,0.00,984.09,340.59,369.22,273.98,0.00,1039.01,340.45,369.18,273.98,55.40,0.06
sf0.01,783.98,44.73,785.41,46.33,0.00,1092.57,378.16,410.10,304.31,0.00,1154.12,378.17,410.08,304.34,61.53,0.06
