Scale,Disk Size FInEDB,Disk Size SPX
sf0.001,88949906,111150289
sf0.002,177085919,221346227
sf0.003,266024676,332539812
sf0.004,356921481,446146416
sf0.005,446348972,557970181
sf0.005,446339235,557949692
sf0.006,534934200,668615249
sf0.007,624625196,780761221
sf0.008,712725399,890911980
sf0.009,801043066,1001260224
sf0.01,889919179,1112142290
